seller-sku,asin1,binding,item-name,item-description,listing-id,price,quantity,open-date,product-id-type,item-note,item-condition,will-ship-internationally,expedited-shipping,product-id,pending-quantity,fulfillment-channel,Business Price,Quantity Price Type,Quantity Lower Bound 1,Quantity Price 1,Quantity Lower Bound 2,Quantity Price 2,Quantity Lower Bound 3,Quantity Price 3,Quantity Lower Bound 4,Quantity Price 4,Quantity Lower Bound 5,Quantity Price 5,optional-payment-type-exclusion,scheduled-delivery-sku-set,merchant-shipping-group,standard-price-point,ProductTaxCode,source
25-I9AK-Y7EF,0440213851,Paperback,"Conspiracies, Cover-ups [Oct 03, 1992] Vankind, Jonathan",,0824S781WZ1,2.24,2,2017-08-23 17:05:53 PDT,1,,2,,,0440213851,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
4E-IX7E-2KP2,0785261036,Hardcover,"The Third Terrorist: The Middle East Connection to the Oklahoma City Bombing [Apr 13, 2004] Davis, Jayna",,0823S2P6NZD,5,2,2017-08-22 17:56:40 PDT,1,,2,,,0785261036,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ND-YMMC-I9AO,1846013178,Paperback,"Ice Cream Galore [Apr 06, 2009] Barty, Caroline",,0810SFCDCQD,5,2,2017-08-10 11:30:46 PDT,1,,2,,,1846013178,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,"Dog-Eared Books, Mission, Free Box"
3YQ-I6T-41H,0345033140,Paperback,"The fight for freedom for women (Ballantine's illustrated history of the violent century. Politics in action, no. 9) [Jan 01, 1973] Tremain, Rose",,0729SMSMUE7,22.74,2,2017-07-28 18:15:51 PDT,1,"Tight binding. Pages clean and unmarked, except for penciled price marks and previous owner's name and address in pen on flyleaf. Bookstore stamp on bottom exterior of pages. Well preserved in plastic for years.",3,,,0345033140,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
OI-ZJB0-9QAV,0670871516,Hardcover,"The Arrogance of Power: The Secret World of Richard Nixon [Aug 28, 2000] Summers, Anthony",,0825SAJSR4V,5,1,2017-08-24 17:34:14 PDT,1,,2,,,0670871516,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
3I-ZCCL-3HP1,0393327655,Paperback,"The End of Faith: Religion, Terror, and the Future of Reason [Paperback] [Sep 17, 2005] Harris, Sam",,0825SAJJ4QV,3,1,2017-08-24 17:30:56 PDT,1,,2,,,0393327655,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
0X-K54V-HTNO,0529044552,Hardcover,"The Service: The Memoirs of General Reinhard Gehlen [Jan 01, 1972] Reinhard Gehlen; David Irving and George Bailey",,0825SAJGDE7,5,1,2017-08-24 17:29:16 PDT,1,,6,,,0529044552,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
65-I6IU-C8BD,0884050815,Hardcover,"The Dream of Troy [Jan 01, 1974] Arnold C. Brackman",,0825SAJ28JV,5,1,2017-08-24 17:20:43 PDT,1,,4,,,0884050815,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
Y7-9DTO-04ON,0394569768,Hardcover,"Women, Culture, & Politics [Hardcover] [Feb 04, 1989] Davis, Angela Y.",,0825SAIX6DJ,5,1,2017-08-24 17:18:50 PDT,1,,3,,,0394569768,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ZW-7THU-41RP,0316135909,Hardcover,"Cosmic dawn: The origins of matter and life [Jan 01, 1981] Chaisson, Eric",,0825SAINON1,5,1,2017-08-24 17:11:58 PDT,1,,4,,,0316135909,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
Z0-FAXF-CILV,0448229811,Hardcover,"The Broederbond [Oct 01, 1979] Wilkins, Ivor",,0825SAIIFEJ,8,1,2017-08-24 17:08:12 PDT,1,,2,,,0448229811,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
EJ-GI4Y-L04D,0674947517,Paperback,"The Warrior and the Priest: Woodrow Wilson and Theodore Roosevelt [Paperback] [Oct 15, 1985] John Milton Cooper Jr.",,0825SAIEQE7,4,1,2017-08-24 17:06:21 PDT,1,,3,,,0674947517,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
MX-6CHK-11OK,0881322431,Hardcover,"Has Globalization Gone Too Far? [Mar 01, 1997] Rodrik, Dani",,0825SAICJE1,9.92,1,2017-08-24 17:05:04 PDT,1,,2,,,0881322431,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
CZG-PM3-MEB,9999860036,Hardcover,"The Amazons: A Marxian Study [Jun 01, 1926] Kanter, Emanual",,0825SAI9G1P,14.99,1,2017-08-24 17:03:48 PDT,1,,6,,,9999860036,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
X70-SB8-HA5,B000855C0K,Hardcover,"Dictators and democracies [Jan 01, 1937] Hoover, Calvin B",,0824SAHUQ01,10,1,2017-08-24 16:55:58 PDT,1,,6,,,B000855C0K,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
0VN-41J-OLV,B000Q34O26,Hardcover,"Coup d'Etat: A Practical Handbook [Hardcover] [Jan 01, 1969] Luttwak, Edward N.",,0824SAHPKYD,44,1,2017-08-24 16:53:56 PDT,1,,6,,,B000Q34O26,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
EQS-L1L-MC8,B000WLB1UU,Hardcover,"A Capitalist's View of Socialism [Hardcover] [Jan 01, 1916] Thayer, William M.; Blood, Benjamin Paul",,0824SACBZ51,40,1,2017-08-24 15:02:02 PDT,1,"Parke, Austin & Lipscomb, 1916. No dust jacket, otherwise in very good condition. Pages clean and unmarked with no water stains or soiling. Panels in very good condition.",7,,,B000WLB1UU,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
3W-N1UR-80RY,0963439723,Paperback,"Slick Willie II: Why America Still Cannot Trust Bill Clinton [Jun 01, 1994] Stone, Deborah J. and Manion, Christohpher",,0824SABXX4D,3,1,2017-08-24 14:58:16 PDT,1,,2,,,0963439723,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ND-GMTK-FTDH,0804760640,Hardcover,"The Great Cold War: A Journey Through the Hall of Mirrors (Stanford Security Studies) [Hardcover] [Jan 26, 2009] Barrass, Gordon S.",,0824SABJES7,12.7,1,2017-08-24 14:45:27 PDT,1,,2,,,0804760640,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
1W-R6BI-F5R5,0520073126,Hardcover,"Cocaine Politics: Drugs, Armies, and the CIA in Central America [Apr 16, 1991] Scott, Peter Dale and Marshall, Jonathan",,0824SABJ14J,4.32,1,2017-08-24 14:44:14 PDT,1,,2,,,0520073126,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
ZH-AAZI-RV4K,0520237730,Hardcover,"The Road to 9/11: Wealth, Empire, and the Future of America [Sep 04, 2007] Scott, Peter Dale",,0824SABH4V1,19,1,2017-08-24 14:42:43 PDT,1,,2,,,0520237730,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
UF-3Y0Y-GSVH,006054354X,Hardcover,"1000 Years for Revenge: International Terrorism and the FBI--the Untold Story [Sep 01, 2003] Lance, Peter",,0824SABEE91,5,1,2017-08-24 14:41:10 PDT,1,,2,,,006054354X,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
5K-ZW7C-O4KJ,0818402334,Hardcover,"Even the Gods Can't Change History: The Facts Speak for Themselves [Jun 01, 1976] Seldes, George",,0824SABCQN7,5,1,2017-08-24 14:39:31 PDT,1,,3,,,0818402334,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
4I-OUER-1XEC,0517577062,Hardcover,"Don't Know Much About History [Jun 10, 1990] Davis, Kenneth C.",,0824SABBG47,5,1,2017-08-24 14:37:15 PDT,1,,2,,,0517577062,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
P7-UB34-AAU0,0671663232,Hardcover,"Kissinger: A Biography [Sep 16, 1992] Isaacson, Walter",,0824SAB7BZP,5,1,2017-08-24 14:35:45 PDT,1,,2,,,0671663232,0,DEFAULT,,,,,,,,,,,,,,,Migrated Template,,,Butler Parnell Crittenden III Estate
